 Iteration	g0	g1	penalK	penalG	eta	beta	pAgg	change	lambda1	lambda2	Compliance	Vol. Frac.	CPU time	Real time
 88	0.8898	-1.92e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.352e-02	1.256e-07	2.265e+00	1.104289e+01	0.1364	1.737500e+02	3.366e+01
 89	0.8877	-1.84e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	8.908e-03	1.256e-07	2.280e+00	1.101645e+01	0.1365	1.783125e+02	3.420e+01
 90	0.8857	-1.77e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.621e-03	1.256e-07	2.285e+00	1.099165e+01	0.1366	1.783281e+02	3.449e+01
 91	0.8838	-1.70e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.084e-02	1.256e-07	2.297e+00	1.096763e+01	0.1367	1.701719e+02	3.333e+01
 92	0.8819	-1.63e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.176e-02	1.256e-07	2.309e+00	1.094422e+01	0.1368	1.747344e+02	3.396e+01
 93	0.8801	-1.57e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.300e-02	1.256e-07	2.317e+00	1.092195e+01	0.1368	1.605625e+02	3.177e+01
 94	0.8783	-1.50e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.364e-02	1.255e-07	2.311e+00	1.090115e+01	0.1369	1.618594e+02	3.190e+01
 95	0.8766	-1.45e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.424e-02	1.255e-07	2.290e+00	1.088028e+01	0.1370	1.537344e+02	3.076e+01
 96	0.8749	-1.39e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.486e-02	1.255e-07	2.280e+00	1.085906e+01	0.1371	1.561875e+02	3.054e+01
 97	0.8733	-1.34e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.415e-02	1.255e-07	2.281e+00	1.083887e+01	0.1372	1.540312e+02	3.036e+01
 98	0.8718	-1.28e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.307e-02	1.256e-07	2.290e+00	1.081984e+01	0.1372	1.587500e+02	3.105e+01
 99	0.8702	-1.24e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.248e-02	1.256e-07	2.293e+00	1.080341e+01	0.1373	1.430469e+02	2.831e+01
100	0.8687	-1.19e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.209e-02	1.259e-07	2.297e+00	1.078762e+01	0.1374	1.549375e+02	3.060e+01
101	0.8671	-1.15e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.292e-02	1.261e-07	2.291e+00	1.077612e+01	0.1374	1.654062e+02	3.219e+01
102	0.8656	-1.10e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.370e-02	1.261e-07	2.285e+00	1.076731e+01	0.1375	1.597656e+02	3.142e+01
103	0.8640	-1.07e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.452e-02	1.262e-07	2.277e+00	1.075845e+01	0.1375	1.540469e+02	3.035e+01
104	0.8624	-1.03e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.735e-02	1.264e-07	2.277e+00	1.075167e+01	0.1376	1.621875e+02	3.175e+01
105	0.8607	-9.97e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.796e-02	1.269e-07	2.281e+00	1.074818e+01	0.1376	1.729531e+02	3.369e+01
106	0.8591	-9.66e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.889e-02	1.255e-07	2.263e+00	1.075015e+01	0.1377	1.549844e+02	3.040e+01
107	0.8575	-9.37e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.981e-02	1.277e-07	2.241e+00	1.073353e+01	0.1377	1.644844e+02	3.224e+01
108	0.8567	-9.17e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.020e-02	1.265e-07	2.158e+00	1.074554e+01	0.1378	1.727656e+02	3.353e+01
109	0.8594	-9.36e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.785e-02	1.406e-07	2.168e+00	1.073367e+01	0.1377	1.576719e+02	3.080e+01
110	0.8675	-1.09e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.168e-02	1.347e-07	1.861e+00	1.085650e+01	0.1375	1.742031e+02	3.369e+01
111	0.8743	-1.38e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.833e-02	1.435e-07	2.243e+00	1.085787e+01	0.1371	1.625312e+02	3.150e+01
112	0.8721	-1.59e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.149e-02	1.261e-07	2.117e+00	1.096198e+01	0.1368	1.752812e+02	3.375e+01
113	0.8693	-1.60e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	2.782e-02	1.256e-07	2.185e+00	1.092725e+01	0.1368	1.823594e+02	3.519e+01
114	0.8674	-1.54e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.794e-03	1.254e-07	2.153e+00	1.090504e+01	0.1369	1.527812e+02	2.963e+01
115	0.8657	-1.48e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.341e-03	1.254e-07	2.168e+00	1.088182e+01	0.1370	1.775781e+02	3.401e+01
116	0.8641	-1.42e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.618e-03	1.253e-07	2.169e+00	1.085941e+01	0.1371	1.862812e+02	3.576e+01
117	0.8625	-1.36e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.073e-02	1.254e-07	2.170e+00	1.083698e+01	0.1371	1.670625e+02	3.243e+01
118	0.8610	-1.31e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.256e-02	1.255e-07	2.169e+00	1.081702e+01	0.1372	1.593594e+02	3.108e+01
119	0.8595	-1.26e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.473e-02	1.256e-07	2.164e+00	1.079851e+01	0.1373	1.704219e+02	3.275e+01
120	0.8580	-1.21e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.700e-02	1.256e-07	2.162e+00	1.078269e+01	0.1373	1.471250e+02	2.860e+01
121	0.8565	-1.17e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.901e-02	1.256e-07	2.161e+00	1.076696e+01	0.1374	1.465469e+02	2.859e+01
122	0.8550	-1.13e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.574e-02	1.258e-07	2.162e+00	1.075204e+01	0.1375	1.543906e+02	3.017e+01
123	0.8536	-1.09e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.215e-02	1.259e-07	2.165e+00	1.073987e+01	0.1375	1.593750e+02	3.118e+01
124	0.8522	-1.05e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.190e-02	1.260e-07	2.169e+00	1.072990e+01	0.1376	1.593125e+02	3.122e+01
